X,Y,PILE ID,Pile Color,X,Y,Z
-93.9959485070284,34.9206388248418,5.65-S1.R056.E,Yellow,13689117.84,3012533.939,69.27798323
-93.9960375763798,34.9206566851551,5.65-S1.R056.F,Yellow,13689090.36,3012533.939,69.26137709
-93.9961243444858,34.9206740839494,5.65-S1.R056.G,Dark Blue,13689063.59,3012533.939,69.2452
-93.9962111126283,34.920691482682,5.65-S1.R056.H,Yellow,13689036.82,3012533.939,69.22902291
-93.996300182093,34.9207093428034,5.65-S1.R056.I,Yellow,13689009.34,3012533.939,69.21241677
-93.9963892515962,34.9207272028598,5.65-S1.R056.J,Yellow,13688981.86,3012533.939,69.19581062
-93.9964783211377,34.9207450628511,5.65-S1.R056.K,Yellow,13688954.38,3012533.939,69.17920448
-93.9965564676995,34.9207607325351,5.65-S1.R056.L,Yellow,13688930.27,3012533.939,69.16463483
-93.9955982939969,34.9206251572395,5.65-S1.R057.A,Yellow,13689221.02,3012553.939,69.31033483
-93.9956655173004,34.9206386371654,5.65-S1.R057.B,Light Green,13689200.28,3012553.939,69.29780166
-93.9957545865906,34.9206564976853,5.65-S1.R057.C,Yellow,13689172.8,3012553.939,69.28119552
-93.9958436559192,34.9206743581401,5.65-S1.R057.D,Yellow,13689145.32,3012553.939,69.26458938
-93.9959327252862,34.9206922185298,5.65-S1.R057.E,Yellow,13689117.84,3012553.939,69.24798323
-93.9960217946916,34.9207100788544,5.65-S1.R057.F,Yellow,13689090.36,3012553.939,69.23137709
-93.9961085628503,34.9207274776598,5.65-S1.R057.G,Dark Blue,13689063.59,3012553.939,69.2152
-93.9961953310454,34.9207448764033,5.65-S1.R057.H,Yellow,13689036.82,3012553.939,69.19902291
-93.9962844005642,34.9207627365361,5.65-S1.R057.I,Yellow,13689009.34,3012553.939,69.18241677
-93.9963734701213,34.9207805966038,5.65-S1.R057.J,Yellow,13688981.86,3012553.939,69.16581062
-93.9964625397169,34.9207984566064,5.65-S1.R057.K,Yellow,13688954.38,3012553.939,69.14920448
-93.9965406863261,34.9208141263004,5.65-S1.R057.L,Yellow,13688930.27,3012553.939,69.13463483
-93.9955825120315,34.9206785508824,5.65-S1.R058.A,Yellow,13689221.02,3012573.939,69.28033483
-93.9956497353757,34.9206920308169,5.65-S1.R058.B,Light Green,13689200.28,3012573.939,69.26780166
